r4;piO;piP;piR;piF;cV;cS;cT
001,000000000;000,008691851;000,991308149;000,000000000;000,000000000;009,913081490;009,000000000;018,913081490;
000,990000000;000,097300590;000,902699410;000,000000000;000,000000000;009,026994096;008,955000000;017,981994096;
000,980000000;000,142720626;000,857279374;000,000000000;000,000000000;008,572793743;008,910000000;017,482793743;
000,970000000;000,164972894;000,835027106;000,000000000;000,000000000;008,350271060;008,865000000;017,215271060;
000,960000000;000,170937163;000,829062837;000,000000000;000,000000000;008,290628369;008,820000000;017,110628369;
000,950000000;000,153238395;000,846761605;000,000000000;000,000000000;008,467616046;008,775000000;017,242616046;
000,940000000;000,192681210;000,807318790;000,000000000;000,000000000;008,073187896;008,730000000;016,803187896;
000,930000000;000,221936020;000,778063980;000,000000000;000,000000000;007,780639803;008,685000000;016,465639803;
000,920000000;000,218920258;000,781079742;000,000000000;000,000000000;007,810797419;008,640000000;016,450797419;
000,910000000;000,214078052;000,785921948;000,000000000;000,000000000;007,859219478;008,595000000;016,454219478;
000,900000000;000,209974695;000,790025305;000,000000000;000,000000000;007,900253051;008,550000000;016,450253051;
000,890000000;000,207921983;000,792078017;000,000000000;000,000000000;007,920780173;008,505000000;016,425780173;
000,880000000;000,206218619;000,793781381;000,000000000;000,000000000;007,937813810;008,460000000;016,397813810;
000,870000000;000,204635553;000,795364447;000,000000000;000,000000000;007,953644466;008,415000000;016,368644466;
000,860000000;000,214450687;000,785549313;000,000000000;000,000000000;007,855493132;008,370000000;016,225493132;
000,850000000;000,215110747;000,784889253;000,000000000;000,000000000;007,848892531;008,325000000;016,173892531;
000,840000000;000,209601328;000,790398672;000,000000000;000,000000000;007,903986725;008,280000000;016,183986725;
000,830000000;000,204633395;000,795366605;000,000000000;000,000000000;007,953666054;008,235000000;016,188666054;
000,820000000;000,212367069;000,787632931;000,000000000;000,000000000;007,876329310;008,190000000;016,066329310;
000,810000000;000,215935774;000,784064226;000,000000000;000,000000000;007,840642259;008,145000000;015,985642259;
000,800000000;000,226648433;000,773351567;000,000000000;000,000000000;007,733515668;008,100000000;015,833515668;
000,790000000;000,236246377;000,763753623;000,000000000;000,000000000;007,637536229;008,055000000;015,692536229;
000,780000000;000,240426820;000,759573180;000,000000000;000,000000000;007,595731803;008,010000000;015,605731803;
000,770000000;000,252299232;000,747700768;000,000000000;000,000000000;007,477007683;007,965000000;015,442007683;
000,760000000;000,242280819;000,757719181;000,000000000;000,000000000;007,577191811;007,920000000;015,497191811;
000,750000000;000,246058187;000,753941813;000,000000000;000,000000000;007,539418126;007,875000000;015,414418126;
000,740000000;000,249444353;000,750555647;000,000000000;000,000000000;007,505556473;007,830000000;015,335556473;
000,730000000;000,249447988;000,750552012;000,000000000;000,000000000;007,505520121;007,785000000;015,290520121;
000,720000000;000,244998920;000,755001080;000,000000000;000,000000000;007,550010799;007,740000000;015,290010799;
000,710000000;000,240797336;000,759202664;000,000000000;000,000000000;007,592026638;007,695000000;015,287026638;
